,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
1023,机器学习,仁辉科技,20-99人,上海 浦东新区 张江,本科,3-5年,机器学习工程师,机器学习工程师工作职责：1. 负责信贷风险管理相关的数据分析、专题分析，并形成数据可视化方案，撰写分析报告；2. 深度挖掘海量数据，完善风控相关数据集市；3. 与团队一起建立个人信用评级标准，负责反欺诈评分、信用评估、催收评分等评分模型的开发设计；4. 持续推动和跟踪成果的产品化落地，并且跟踪监控、优化迭代风险政策及相关模型；5. 不断学习最新机器学习、数据挖掘领域的技术和成果。任职要求：1. 本科及以上学历，计算机，数学，统计，数量经理及其相关专业；2. 3年以上机器学习、数据建模相关经验，有独立完整的建模实践经验，有Kaggle等竞赛经验优先；3. 熟练掌握系统的数据分析方法论，有扎实的统计学理论基础，精通机器学习算法；4. 有实际完整信用评估模型开发、建设的项目经验， 有征信评级产品设计和业务处理流程相关理论和实践经验；5. 熟练使用建模软件及各种数据可视化工具，精通SQL、R、Python等语言；6. 有高度的规划能力和执行力，善于学习新知识，新领域，具备优秀的沟通、协调、组织能力，有较强责任心与抗压性。福利：13薪+年终奖 五险一金一年至少一次涨薪机会饭贴车贴 25元/天加班可申请调休加班至9点饭贴另加20元/天加班至10点打车全额报销80元/人/月，团建基金入职健康体检每月集体生日会，生日的同学享有神秘个性化小礼物一份带薪年假 每月0.5天年假，一年6天,20k-35k,未融资
1024,机器学习,智子云,100-499人,上海 杨浦区 平凉路,硕士,1年以内,机器学习工程师,岗位职责：1、.维护与改进智子云推荐引擎相关的算法和应用；2、为智子云智能RTB广告的优化提供算法和数据分析支持；3、为客户定制大数据应用解决方案提供算法和数据分析支持；4、跟踪推荐引擎、精准营销领域相关的算法进展和发展趋势。任职要求：1、计算机相关专业硕士以上学历；2、熟悉linux平台，熟练掌握一门以上面向对象编程语言；3、熟悉数据结构，统计学，数据挖掘，机器学习的基本理论和常用算法；4、熟悉SQL，有关系数据库开发经验；5、有机器学习或数据挖掘相关实践经验者优先；6、有Hadoop分布式计算平台开发经验者优先；7、喜欢学习，善于钻研，习惯查阅英文材料；8、具备良好的组织和沟通能力，工作积极主动，责任心强。,10k-18k,已上市
1025,机器学习,再惠,100-499人,上海 长宁区 交通大学,硕士,3-5年,机器学习工程师,"职位描述：工作职责：1.参与数据采集、机器学习，个性化推荐系统的设计和开发；2.整个推荐系统架构设计和开发, 研发高质量的相关推荐算法和个性化推荐算法；3.针对计算广告，内容推荐等业务，开发机器学习算法原型系统，开展线上算法实验；4.对实验数据进行处理和分析，发现现有系统和算法的不足，提出改进并推动实现；任职资格：1. 机器学习/模式识别等相关专业硕士及以上学历；2. 在机器学习领域有较深的理论研究和实践经验，2年以上工作经验；3. 熟悉linux，java和C/C++开发；并熟练使用以下脚本语言：python/shell/scala；4. 良好的主动性，逻辑思维能力和沟通能力。具有以下条件优先：-有广告建模，推荐系统，反作弊，用户／商户画像建模型，调度系统经验；-熟悉文本分类、聚类、机器翻译，有相关项目经验；-熟悉海量数据处理、最优化算法、分布式计算或高性能并行计算，有相关项目经验-计算机/数学/统计/经济学等量化教育背景。",25k-50k,B轮
1026,机器学习,携宁科技,500-999人,上海 徐汇区 漕河泾,硕士,应届生,机器学习算法研究员,数学，统计学等基础学科的硕士研究生，python有一定基础，机器学习和深度学习的理论有一定的基础。,8k-10k,未融资
1027,机器学习,端御信息科技,0-20人,上海 长宁区 新华路,本科,应届生,机器学习工程师,[ 岗位职责 ] 1.协助项目进行数据处理工作2.参与算法的实现以及模型结果评估 [ 职位要求 ] 1、扎实的数学基础（包括高等数学、线性代数、概率论等）2、拥有较好的算法基础3、熟悉常见的机器学习算法（LR、SVM、K-means等）4、掌握python/C/C++/golang/java等其中两门以上语言5、CET-4/CET-6证书 [ 加分项 ] 1.有数据处理经验优先2.有kaggle等竞赛经历优先3.有省市级比赛（ACM、数模等）经验优先4.课设为相关机器学习方向优先,4k-8k,未融资
1028,机器学习,博览网,20-99人,上海  ,本科,经验不限,机器学习专业助教,职位描述：1、参与人工智能，机器学习相关课程教研（包括开发课件，项目案例等）；2、协助老师按课程计划为学员提供高品质的教学服务；3、辅导学员学习，解答学员学习过程中产生的问题；4、做好实践练习及项目实战的带班工作；任职要求： 1、计算机，数学相关专业本科或以上学历，对人工智能/机器学习领域有热情，热爱教育培训行业（优秀在读硕博也可应聘）； 2、熟练掌握Python/C++等一种编程语言，良好的数学功底；3、熟悉主流的数据挖掘算法，如逻辑回归、决策树、神经网络、随机森林等机器学习算法；4、亲合力强，动手实践能力强；善于沟通，具有优秀的组织与协调能力； 5、责任心强，工作细致，积极正向，乐于学习，重视团队精神；,7k-10k,A轮
1029,机器学习,微芒教育科技,20-99人,上海 徐汇区 田林,硕士,1-3年,机器学习工程师,职位描述：负责cv/nlp/asr/推荐等方向学术界前沿算法的调研和其在教育产品中的落地任职要求：良好的 cs 和数学基础熟悉至少一种编程语言，能写（ Morden ） C++ 和 Python 加分对学术前沿有较强的 sense 和敏感性，能复现 state of the art 并有自己的思考掌握至少一种深度学习框架，熟练使用传统的 ml 工具 /库，有 hadoop/spark/hive 使用经验更佳对 cv/nlp/asr/lr/推荐 /gpu 分布式中的一个或多个方向有一定的积累，主导过实际的（工业界）项目参加过 kaggle/天池 等比赛优先，有论文发表优先acm/oi 参赛经历（省奖 /regional 以上） 大加分硕士以上学历，3 年以上工作经验其他：弹性工作制，原则上 10/7/5，不加班base 最低 14 薪,30k-60k,A轮
1030,机器学习,中腾信金融,500-999人,上海 虹口区 七浦路,本科,3-5年,机器学习工程师,"岗位职责： 1、结合数据挖掘传统算法，机器学习浅层算法，深度学习深层算法在金融领域的产品中进行分类和预测；2、以上算法在舆情分析，文本处理，人工智能，知识图谱等方面的应用；任职要求： 1、本科及以上学历，计算机或统计学相关专业，三年以上相关工作经验；2、对机器学习的一般模型如分类、聚类、预测等模型熟悉（LR，CART，RT，DTM，NBM，LDA等），理解一些常用的特征选择和矩阵分解的算法； 3、有NLP、图像设别、知识图谱等相关项目；4、熟悉深度神经网络和常用的模型,如RBM、CNN、DBN、Sparsecoding、RNN、LSTM等，对常用的开源实现,如 Tensorflow、Caffe、Theano或ConvNet等有实践经验者优先考虑； 5、熟悉深度神经网络在金融方面的应用，有文本处理方面的经验者优先考虑；6、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力，熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑； 7、良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java、Python、Matlab）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑； 8、具有良好的沟通能力，和良好的团队合作精神。",15k-30k,未融资
1031,机器学习,震坤行,1000-9999人,上海 浦东新区 世纪公园,本科,3-5年,机器学习算法工程师,"岗位职责：1、负责研究人工智能、机器学习技术的研究，包括推荐算法、分类算法、聚类算法、神经网络、深度学习的研究；2、结合业务需求，研究并实现机器学习算法；3、参与业务解决方案的设计和编写，撰写相关技术文档。任职要求：1、本科以上学历，计算机、数学、统计相关专业，3年及以上机器学习算法工作经验；2、熟悉机器学习各种算法，包括分类算法、聚类算法、推荐算法等算法的原理及应用，具备Spark算法开发者优先；3、精通Java，熟悉Scala，Hadoop,Hive,MapReduce等技术；4、精通Spark中各个模块，包括Core,Streaming, SQL,MLlib；5、有丰富的数据挖掘、数据建模或机器学习的项目经验，在机器学习方向有深入研究。",20k-40k,C轮
1032,机器学习,旗计智能,1000-9999人,上海 浦东新区 张江,硕士,3-5年,算法工程师（机器学习）,岗位职责：1.负责机器学习平台中特征工程模块的研发；2.负责机器学习平台中算法内核的研发。任职要求：1.硕士以上学历，数学、计算机或相关专业；2年以上工作经验；2.熟悉Hadoop、Spark、Caffe、Tensorflow等开源社区，并有实际的开发经验；有扎实的理论基础，熟练掌握各类有监督、无监督学习算法，熟悉scikit-learn、pyspark；3.熟悉特征构建、特征提取、特征选择方法，熟悉featuretools并有实际应用经验；4.具有较强的学习能力、沟通能力、团队协作意识、抗压能力。,20k-40k,已上市
1033,机器学习,携程旅行网,10000人以上,上海 长宁区 北新泾,本科,3-5年,数据分析（机器学习方向）,"数据分析（机器学习方向）工作职责：1. 研究海量国际机票数据，运用机器学习类算法构建各种排序模型，设计和实现模型，持续改进；2. 通过数据建模或数据分析，定位数据表现的根因，设计解决问题的方案；3. 沉淀分析思路与框架， 提炼数据产品需求，深入地知识挖掘，有创造性的价值发现；4. 自我驱动，对数据高度敏感，逻辑清晰，敏锐的发现问题的能力；5. 高度的责任心，良好的沟通协作能力，具有较强的分享意愿6. 有软件开发经验优先。任职要求：1. 统计、计算机、数学等相关专业硕士或本科学历；2. 三年以上数据分析或者软件开发相关工作经验，有机器学习，数据挖掘，推断预测经验；3. 熟练掌握多种机器学习算法，有大型算法应用经验者优先；航班选择优化相关经验者优先；4. 熟练掌握SQL/Presto类查询语言； 5. 熟悉统计分析/数据挖掘软件（R, Python等）优先；熟悉编程语言（Java等）优先；6. 有带团队经验优先。",20k-40k,已上市
