,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
695,商业分析,诺贝尔曼,0-20人,上海 黄浦区 瑞金二路,本科,经验不限,商业大数据分析师,1、本科以上学历，年龄20~30岁，男女不限； 2、较强逻辑思维分析能力、文字功底； 3、良好沟通协调和口头表达能力，性格开朗、活泼； 4、具有一定的报告能力主要进行市场调研及分析；； 5、工作严谨，具有敬业精神，学习能力强； 6、喜欢从事房地产行业，尤其是商业地产者优先；7、欢迎应届生。,5k-7k,0-20人
696,商业分析,Datatist,20-99人,上海 徐汇区 交大,硕士,5-10年,高级商业数据分析师,工作职责：1.      清晰认识公司的战略重点和业务方向，通过数据挖掘与探索，为运营、产品、市场、用户营销等提供商业决策的数据支持和建议。2.      深入分析历史数据，结合业务动态及外部环境，预测公司的核心业务数据走向。3.      通过专题分析，对业务问题进行深入分析，及时发现运营及产品问题，为业务运营决策、销售策略、产品方案提供数据支持，给出分析报告。4.      根据业务需求通过SQL等数据查询语言快速准确进行数据提取和处理，为决策提供数据支撑。5.      对初级团队人员进行培训和指导，与其他商业分析师一起，发现行业运营机会点和问题。岗位要求：1.      硕士及以上学历，5年及以上相关工作经验；2.      熟练使用sql，熟悉各种数据技术平台，例如：hadoop、mysql等，能高效的与数据技术团队进行沟通；3.      熟练独立编写数据分析报告，及时发现和分析其中隐含的变化和问题；熟练使用excel/ppt；4.      具有商业意识，对商业数据敏感度高，对商业竞争敏感，了解互联网常用的数据分析和数据运营的方法和思路；5.      具有数据建模功底，掌握时间序列分析、预测分析能力，会使用R/python中至少一个工具；6.      有客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先；7.      具备良好的沟通能力，项目协调以及客户管理能力，具备熟练讲解方案与产品的能力以及现场应变能力。,20k-40k,A轮
697,商业分析,Udacity,100-499人,上海  ,本科,3-5年,商业数据分析经理,职位描述：Udacity，一家正在改变世界IT职业教育的硅谷公司。Udacity（优达学城） 是来自硅谷的开放式教育平台，通过最优质的在线学习服务，帮助学员成长为和硅谷同步的技术精英，成为被谷歌、亚马逊、滴滴出行等全球顶尖企业认可的抢手人才。我们是全球最具潜力的在线教育公司之一，学员遍布全球168个国家，获得来自Google Ventures、Bertelsmann等著名机构的投资，估值超过10亿美元。我们正在寻找一位擅长通过数据驱动增长的数据分析高手，帮助我们提升业务增长速率，距离远大目标更进一步。工作职责：基于数据洞察，推动业务增长 - 和市场/运营/技术团队协作，运用数据分析和预测分析，发现关于业务增长的核心解决方案；通过数据分析，优化产品服务 - 通过数据收集和分析，优化网站，判断产品迭代的有效性；推动市场和产品层面的A/B测试，获得更优化的解决方案；进行有效的数据沟通 - 通过 ChartIO 等可视化工具，创建并管理信息丰富的业务数据面板；通过会议演示、书面报告，有效呈现数据洞察，推动高层做出关键决策；优化数据架构，支持业务的快速增长 - 和技术团队协作，持续优化底层数据架构，支持规模化的业务增长。媒体渠道优化 - 不断建立和完善媒体渠道追踪代码，通过分析各媒体渠道投入产出比，从而做出更合理的媒体预算。网站监测 - 日常监测网站数据，及时发现任何追踪代码缺失或者不合理等问题，从而保证网站正常运营。岗位要求：3-5 年较大规模用户数据处理经验；有数据库查询经验（熟悉 PostgreSQL、MongoDB、Python 优先 ）；能够熟练使用 Google Analytics、ChartIO 或者其他数据可视化等工具优先；能够使用 SQL 或其他查询脚本语言来聚合、收集和处理数据；在数据挖掘、预测分析领域有丰富经验，有数字营销背景加分;需要有良好的团队协作能力，理性细心，责任心强，逻辑分析能力强；能够用英文进行熟练的书面沟通和基本的口头沟通；2年+管理经验985/211高校 或 Udacity “数据分析师”纳米学位项目毕业生优先。,15k-25k,D轮及以上
698,商业分析,我图网,500-999人,上海 浦东新区 张江,本科,3-5年,商业分析师,"岗位描述：1、观察和分析用户数据，了解数据背后的含义，找到关键指标；负责获取用户、激发活跃、提高留存、增加营收的全过程，并追踪效果和持续优化； 2、参与产品设计，快速推进开发，以验证假设，持续完善产品数据； 3、协作市场运营部门，完成定期的数据培训和交流，提升团队整体的数据意识； 4、结果导向，对数据增长的目标负责； 任职要求：1、对数据敏感，有极强的好奇心和探索欲，思维清晰，执行力佳；2、计算机、统计学、数学等相关专业优先，211/985高校本科或以上学历优先，3年以上移动互联网用户增长经验优先；3、熟悉互联网产品及技术，熟悉社交产品的内在逻辑;4、能快速理解业务，发掘数据和用户行为、产品模型之间的联系；5、加分项：有过现象级活动运营的经历（请提供活动数据）；有过教育行业经历，或者策划过面向家长的活动。 6、加分项：熟练使用百度统计、google分析、神策或其他类似分析统计工具, 熟练使用数据分析工具（MySQL），有成熟的互联网相关用户增长案例优先。",15k-25k,不需要融资
699,商业分析,我图网,500-999人,上海 浦东新区 张江,本科,3-5年,商业分析师,#负责行业动态追踪、收集并分析相关行业的趋势、创新竞品和业务模式，研究行业数据、分析行业发展，撰写行业报告；#在小组长的带领下，围绕新产品展开市场分析、用户需求研究、可行性研究等，挖掘业务问题和痛点，给出行动建议，推动业务成长，协助业务孵化；#针对平台课题，进行研究设计、调研执行、数据收集和整理、报告撰写等工作；#协助各个项目组进行用户研究、产品研究或课题研究，并输出具备可行性的方案或洞察；#对于行业竞品和相关研究领域进行长期跟踪，持续输出相关的研究结论及动向报告；岗位要求：#本科及以上学历，心理学、社会学、统计学、经济学、应用数学、互联网相关专业优先；#能独立进行开展研究分析工作，并通过整理形成可参考的报告，给出方案；#拥有市调或咨询公司、互联网商业分析或用研岗位，2-3年从业经验者优先；#具有一定的研究能力，优秀的专业素养及敬业精神；#有创新意识，能够提出改进性的产品创意和计划；#较强的数据分析能力，沟通能力，跨部门合作能力；#具备SPSS/R/SQL等软件实操能力者优先；#具有良好写作和表达能力，有较好英语阅读和书写水平的优先；,11k-22k,不需要融资
700,商业分析,平安付,1000-9999人,上海 徐汇区 枫林路,本科,3-5年,资深数据分析师/商业分析师,岗位说明：1. 负责构建部门业务数据分析体系，通过用户数据分析，了解用户行为偏好，对产品、运营提供决策支持2. 负责搭建完整业务监控体系，对各项指标监控、预警，并在此基础进行问题诊断并输出建议3. 通过数据分析挖掘和对业务形态的理解，对产品、流程提出合理化建议，推动和参与业务策略体系搭建岗位要求：1. 良好的商业理解能力2. 熟练掌握SQL、Excel、PPT3. 精通数据分析工具（python、R等优先）4. 精通EXCEL函数、数据透视、PPT图表等沟通,15k-30k,不需要融资
701,商业分析,我图网,500-999人,上海 浦东新区 张江,硕士,1-3年,商业分析师,#负责行业动态追踪、收集并分析相关行业的趋势、创新竞品和业务模式，研究行业数据、分析行业发展，撰写行业报告；#在小组长的带领下，围绕新产品展开市场分析、用户需求研究、可行性研究等，挖掘业务问题和痛点，给出行动建议，推动业务成长，协助业务孵化；#针对平台课题，进行研究设计、调研执行、数据收集和整理、报告撰写等工作；#协助各个项目组进行用户研究、产品研究或课题研究，并输出具备可行性的方案或洞察；#对于行业竞品和相关研究领域进行长期跟踪，持续输出相关的研究结论及动向报告。#本科及以上学历，心理学、社会学、统计学、经济学、应用数学、互联网相关专业优先；#能独立进行开展研究分析工作，并通过整理形成可参考的报告，给出方案；#拥有市调或咨询公司、互联网商业分析或用研岗位，2-3年从业经验者优先；#具有一定的研究能力，优秀的专业素养及敬业精神；#有创新意识，能够提出改进性的产品创意和计划；#较强的数据分析能力，沟通能力，跨部门合作能力；#具备SPSS/R/SQL等软件实操能力者优先；#具有良好写作和表达能力，有较好英语阅读和书写水平的优先；#此职位直接汇报给CEO。,10k-20k,不需要融资
702,商业分析,耐动体育用品,20-99人,上海 虹口区 虹口足球场,大专,经验不限,商业数据分析,岗位职责:1.负责接口品牌公司报表整理制作;2.负责到货单分配及日常调拨；3.利用数据分析能力挖掘货品问题并提出解决方案;4.常规货品数据分析整理；5.其他商品管理相关事宜；6.有过货品管理工作经验的优先；&nbsp;任职资格：1.大专及以上学历2.年龄：20~30岁，3.熟练使用excel、word&nbsp; ppt等常规计算机技能4.工作认真、主动、积极、负责、有耐心、有服务意识工作时间：做六休一,4k-6k,A轮
703,商业分析,德邦快递,10000人以上,上海 青浦区 徐泾,本科,1-3年,供应链销售支持岗（商业数据分析方向）,工作职责:1、负责公司供应链销售的收入模型构建，通过数据分析发现问题并提出针对性的业务方案；2、对行业变化及市场定位的变化有敏锐的洞察力；3、对物流供应链业务有一定了解；4、负责领导指派的其他任务。任职资格:1、有物流、供应链同行经验者优先；2、擅长数据统计分析，有搭建收入模型的经验优先；3、对供应链仓储以及市场行情有一定的洞悉，具备行业敏锐度；4、能妥善处理好上级交办的任务。,6k-10k,已上市
704,商业分析,拍拍贷,1000-9999人,上海 浦东新区 张江,本科,3-5年,商业分析师,"工作职责：1、熟悉风险建模相关的底层数据处理、分析、建模过程，参与建立并优化公司的核心信用评级和风险评估系统；2、具有丰富的各类评分卡模型与反欺诈模型建模经验，并具备落地部署实施经验；3、具备底层数据集市与数据仓库建设经验，与业务和技术团队合作，为业务发展和产品开发提供数据分析支持体系；4、长期研究挖掘各类数据，学习各种新技术。任职资格：1、985大学，或国外一流大学本科或以上学历，理工科专业（数学、计算机，统计等）；2、5年以上在国内外一流金融机构：银行互联网咨询机构从事数据挖掘数据建模领域的实践经验；3、熟悉各类统计建模算法，熟练运用建模开发语言和工具；熟悉UnixLinux操作系统，熟悉1门编程语言例如Python，SAS,C++, Java, Matlab等；4、具备良好沟通能力，学习能力，和团队协作精神。有强烈的学习和提高欲望。有创新和冒险精神，渴望在快节奏的创业公司提升自己，创造价值。5、有数据库（SQL)，软件开发，机器学习经验者优先。",15k-25k,已上市
705,商业分析,我图网,500-999人,上海 浦东新区 张江,本科,1-3年,商业分析师,#负责行业动态追踪、收集并分析相关行业的趋势、创新竞品和业务模式，研究行业数据、分析行业发展，撰写行业报告；#在小组长的带领下，围绕新产品展开市场分析、用户需求研究、可行性研究等，挖掘业务问题和痛点，给出行动建议，推动业务成长，协助业务孵化；#针对平台课题，进行研究设计、调研执行、数据收集和整理、报告撰写等工作；#协助各个项目组进行用户研究、产品研究或课题研究，并输出具备可行性的方案或洞察；#对于行业竞品和相关研究领域进行长期跟踪，持续输出相关的研究结论及动向报告。#本科及以上学历，心理学、社会学、统计学、经济学、应用数学、互联网相关专业优先；#能独立进行开展研究分析工作，并通过整理形成可参考的报告，给出方案；#拥有市调或咨询公司、互联网商业分析或用研岗位，2-3年从业经验者优先；#具有一定的研究能力，优秀的专业素养及敬业精神；#有创新意识，能够提出改进性的产品创意和计划；#较强的数据分析能力，沟通能力，跨部门合作能力；#具备SPSS/R/SQL等软件实操能力者优先；#具有良好写作和表达能力，有较好英语阅读和书写水平的优先；#此职位直接汇报给CEO。,10k-20k,不需要融资
706,商业分析,晨光文具,1000-9999人,上海 松江区 九亭,本科,3-5年,商业数据分析,1，全品类容量、市场竞争&份额定期分析，预测趋势变化 2，分销市场核心数据变化的最终报告 3，在销SKU数、毛利率等指标的监控及盘点学历：本科以上 性别：男 统计、经济学、MBA等毕业 熟练使用各种数据分析软件,10k-16k,已上市
