,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
86,数据分析,上海合森,0-20人,上海 嘉定区 南翔,硕士,经验不限,数据分析工程师,岗位内容：分析基于拉曼光谱测试的生物学信息，进行数据分析挖掘以及整合 后期进行算法的建立。岗位要求：学科背景统计学，生物信息学，数学，应用数学等,8k-10k,不需要融资
87,数据分析,千图网,100-499人,上海 浦东新区 张江,本科,1-3年,数据分析师,工作职责:1. 基于企业运营、行业洞察、行业热点，策划研究课题，完成数据的提取、清洗、分析、验证，通过数据提炼分析观点，撰写分析报告2.   清晰认识公司的战略重点和业务方向，通过数据挖掘与探索，为运营、产品、市场、用户营销等提供商业决策的数据支持和建议3. 负责数据分析体系的规划和建立，对用户进行分层；对接产品、运营、市场的数据分析需求，用数据辅助决策。4. 沉淀分析思路与框架，归纳数据产品需求，设计数据产品或其它工具，并具备一定的工具实施落地落能力，推动数据产品建设。5. 对公众输出具备行业视野的分析课题和分析观点，定期撰写研究院公众号文章，建设一定学术影响力和行业影响力任职资格：1. 本科及以上学历，数学、统计、金融、经济等相关专业优先。2. 3年以上互联网公司相关工作经验，拥有良好的数据分析思路并有有用户流数据建模经验。3. 熟练掌握Excel，并至少掌握一种主流的统计分析工具：SQL/SAS/SPSS/R/Python 等。4. 逻辑严谨细致，有探索精神，工作踏实认真，有较强的沟通推动能力。,15k-30k,D轮及以上
88,数据分析,恩梯梯数据,500-999人,上海 徐汇区 漕河泾,本科,3-5年,数据分析工程师,岗位职责：1、	参与或主导安吉星大数据相关项目数据分析、业务分析、业务建模和数据建模；2、	针对业务场景及相关数据进行分析研究，有效洞察业务机会和瓶颈；3、	通过数据监控快速发现业务存在的问题，并经过深入分析为业务及产品部门提供高价值的应对策略和建议；4、	建立有效的业务分析框架体系（包括客户端、运营系统、合作伙伴等），并应用于业务5、	实施安吉星车联网大数据项目。任职要求：1、计算机相关专业本科及以上学历，5年以上工作经验，3年以上数据分析经验；2、精通数据建模、数据挖掘预测、领域建模、数据仓库等，具备良好的数据分析技能，抽象汇总能力并精确的分析复杂业务问题；3、精通SAS、SPSS、R、Oracle、ERWIN、Python等数据工具；4、精通业务领域数据分析，具有相关的大数据建模能力；5、熟悉CRM、SCM、客户精准营销等相关知识；6、熟悉MPP、Oracle、NoSQL、ETL、Hadoop数据库技术；7、积极主动、学习能力强、沟通能力强、肯吃苦耐劳；8、有车联网/互联网分布式大数据挖掘、BI、数据仓库开发实施经验者优先。,18k-25k,500-999人
89,数据分析,DataXgroup,0-20人,上海 黄浦区 瑞金二路,本科,3-5年,市场研究/数据分析经理,"岗位职责：1. 独立负责中小型项目，包括问卷设计、执行过程管控、数据分析与报告撰写；2. 参与项目前期的客户需求分析，并对项目的进度、质量进行监督和控制；3. 负责与客户就项目运作过程做出解释与沟通工作；4. 除了传统的市场调研，也需要愿意学习使用数据工具处理非结构化数据职位要求：1. 本科或以上学历，专业不限，统计学、市场营销、心理学、社会学等优先2. 具有基本的市场营销和统计方面的知识 3. 对市场研究工作有了解和认识， 有TNS, MB, IPSOS等大型公司工作经验者优先 4. 优秀的中英文书面和口头表达能力，良好的人际交往和沟通能力5. 熟悉PPT图表制作， 熟悉Excel常用函数6. 做事认真仔细，值得信赖7. 有4年以上乙方工作经验的优先由于公司以数据业务为主，除了以上基本的市场调研能力以外，公司希望这个职位的小伙伴能够有兴趣学习非结构化的数据分析工具，并提供相应的支持。",10k-20k,未融资
90,数据分析,银基富力信息技术,20-99人,上海 徐汇区 虹梅路,本科,经验不限,数据分析工程师,职位描述：· 支持项目中常规的SQL统计分析需求，了解linux环境，且能在其中完成智能运维或者信息安全类数据分析报告· 对各种运维或者ITOM系统来源的结构或者指标数据进行整理和综合分析· 根据数据分析结果发现问题，并协助解决问题· 协助建立、完善分析模型职位要求：· 本科以上学历，数学、统计、计算机相关专业， 2年以上数据分析、数据挖掘相关工作经验· 热爱数据分析工作，以数据分析为职业发展方向，有1-2个常规BI类软件的使用经验· 对架构化数据和非结构化数据的价值保持敏感，能够独立完成多维度的数据分析，尤其有机器数据、日志数据分析/metrics指标数据分析经验。· 有使用机器数据分析平台kibana（ELK/Splunk/Graylog等）经验者优先· 有智能运维、AIOPS、信息安全等背景者优先· 积极主动，有很强的学习能力和意愿，有大将之风，愿意帮助团队解决项目现场的各种数据难题。,10k-20k,天使轮
91,数据分析,我图网,500-999人,上海 浦东新区 张江,硕士,3-5年,数据分析（平台）,该岗位直接汇报给CEO岗位职责：根据各项目组的业务特征和产品功能点，设计评价指标、进行运营数据的分析，以优化产品功能协助各个项目组进行基于数据进行用户研究、用户分层，优化公司的用户运营策略和广告投放策略、产品研究或课题研究，并输出具备可行性的方案或洞察；协助初创项目组进行后台数据搭建和建模以数据分析为基础，协助用户增长部制定用户增长策略。任职资格：本科及以上学历，统计学、经济学、应用数学、互联网相关专业优先；能独立进行开展研究分析工作，并通过整理形成可参考的报告，给出方案；乙方公司工作优先，熟练应用谷歌统计、百度统计等相关后台数据产品者优先，有以数据产品实际应用案例者优先2-3年从业经验者优先；具有一定的研究能力，优秀的专业素养及敬业精神；较强的数据分析能力，沟通能力，跨部门合作能力；具备SPSS/R/SQL等软件实操能力者优先；此职位直接汇报给CEO。,15k-25k,不需要融资
92,数据分析,钒兆钛智能,0-20人,上海 浦东新区 张江,本科,1-3年,数据分析师,岗位职责：    1. 协助产品经理进行数据分析，快速进行数据处理和可视化迭代；    2. 承担SaaS金融云运营数据分析工作，对包含Log在内的大数据进行多维度分析挖掘，解决质量、运维、监控和运营等领域的问题；    任职要求：    1. 本科及以上学历，专业不限，熟练英文阅读能力；    2. 良好的数据化思维，善于使用数据手段思考和解决问题；    3. 熟练使用Python编程语言，乐于快速学习和尝试新技术、新工具；；    4. 具备高度的责任心、工作认真细致；拥有良好的沟通能力和团队合作精神；能承受压力，有高度的工作热情和工作积极性；,9k-15k,A轮
93,数据分析,智联广告,20-99人,上海 徐汇区 斜土路,本科,1年以内,数据分析师,工作内容：1、参与项目例会，负责撰写会议纪要，并完成各类文件资料的整理归档2、负责项目数据分析，设计并定期出具项目报告（Excel报告和PPT报告)3、参与项目研讨、公司组织的各项知识技能和管理培训 4、完成领导交办的其他任务技能要求：1、	思维敏捷，具备较强的学习能力、逻辑思维能力和分析能力2、	具备以下一项或多项技能及经验：2-1、	优秀的数据分析能力2-2、	优秀的PPT撰写能力2-3、	优秀的文案撰写能力2-4、	良好的美术设计技能2-5、	良好的程序设计技能2-6、	新媒体运营的相关经验2-7、	项目(活动)策划、宣传及执行的成功经验3、	精通计算机办公软件4、	具有团队合作精神和沟通协调能力 5、	具备极强的执行能力，能承担工作压力 6、	有汽车行业咨询相关行业实习、从业经验者优先其他要求：1、全日制大学本科（含）以上学历， 统计、汽车、经济、管理等相关专业优先2、能适应短期出差3、具备广泛的深度阅读习惯,6k-8k,未融资
123,数据分析,Datatist,20-99人,上海 徐汇区 交大,硕士,1-3年,数据分析师,工作职责：1.      清晰认识公司的战略重点和业务方向，通过数据挖掘与探索，为运营、产品、市场、用户营销等提供商业决策的数据支持和建议。2.      深入分析历史数据，结合业务动态及外部环境，预测公司的核心业务数据走向。3.      通过专题分析，对业务问题进行深入分析，及时发现运营及产品问题，为业务运营决策、销售策略、产品方案提供数据支持，给出分析报告。4.      根据业务需求通过SQL等数据查询语言快速准确进行数据提取和处理，为决策提供数据支撑。5.      对初级团队人员进行培训和指导，与其他商业分析师一起，发现行业运营机会点和问题。岗位要求：1.      硕士及以上学历接受1年左右相关工作经历，本科学历需要有3年以上相关经验；2.      熟练使用sql，熟悉各种数据技术平台，例如：hadoop、mysql等，能高效的与数据技术团队进行沟通；3.      熟练独立编写数据分析报告，及时发现和分析其中隐含的变化和问题；熟练使用excel/ppt；4.      具有商业意识，对商业数据敏感度高，对商业竞争敏感，了解互联网常用的数据分析和数据运营的方法和思路；5.      具有数据建模功底，掌握时间序列分析、预测分析能力，会使用R/python中至少一个工具；6.      有客户数据模型建立和运营经验、数据化运营经验、数据类产品类规划经验，尤其是互联网相关的优先；7.      具备良好的沟通能力，项目协调以及客户管理能力，具备熟练讲解方案与产品的能力以及现场应变能力。,8k-16k,A轮
124,数据分析,CTRIP,10000人以上,上海 长宁区 华漕,本科,3-5年,高级数据分析师,"工作职责：1、基于对互联网产品和在线旅游业务深入理解的基础上，以数据来驱动产品改进，并为产品和业务决策提供依据。2、参与研究课题，通过数据分析来发掘其中的商业价值并帮助产品经理应用到产品中。3、沉淀分析思路与框架，提炼数据产品需求，并推动数据产品的落地。4、通过显著性检验来计算产品改进的收益。5、与相关团队协作进行数据建模工作。任职资格：1、计算机及电子，自动化，统计，数学相关专业本科以上学历2、热爱互联网，对技术研究和应用抱有浓厚的兴趣，有完整的数据挖掘，机器学习项目经验3、具备复杂问题的分析及解决能力4、具有以下一个或多个领域的理论背景和实践经验优先：机器学习 /数据挖掘 /信息检索 /自然语言处理5、熟悉C/C++或者Java编程，对数据结构和算法设计有较为深刻的理解；熟悉R,Python以及其他快速算法原型实现语言或者工具6、有大数据处理经验，熟练使用Hive，如有hadoop编程，Pig/Mahout等使用经验者优先7、良好的逻辑思维能力，对数据敏感，有较强的沟通能力和逻辑表达能力，具备良好的团队合作精神和主动意识8、有数据建模经验、数据类产品规划经验，与互联网相关的优先。",18k-25k,已上市
125,数据分析,上海深界信息科技,0-20人,上海 徐汇区 漕河泾,大专,1-3年,数据分析师,"岗位职责：1.独立完成制作和维护上级领导及各部门的日常报表2.协助完成完成数据监控，数据报表的线上同步及后期维护3.负责汇总，统计催收人员绩效考虑数据，确保及时，准确4.根据公司实际业务要求，完成较深入的专项数据分析并形成数据报告5.支持各部门的数据需求，持续跟踪业务数据，监测发展趋势，为业务指标异常提供预警，监测和解读任职要求：1.大专及以上学历，计算机，应用数学，统计学，经济学相关专业优先2.2年以上数据分析或挖掘经验，有，银行，信贷，电商，互联网行业经验者优先3.熟练使用办公软件Office,MYSQL,熟悉Hive,Python,SAS,R者优先4.具有良好的沟通，表达能力，具备独立思考，分析问题的能力",10k-15k,不需要融资
126,数据分析,仁辉科技,20-99人,上海 浦东新区 张江,本科,3-5年,高级数据分析师,高级数据分析师职位描述：1. 参与风险方面基于客户信息、征信信息、行为信息的数据分析研究，协助提升风控系统风险识别准确性；2. 负责日常系统运营数据（日报、周报等）的分析及监测，能够及时发现异常及问题，并预警；3. 深入了解业务逻辑，与风控团队积极沟通，从整体角度建立数据支持方案，为相关团队日常运营及决策提供有效的数据支持；4. 负责平台活动等数据分析报告的规划与输出；5. 积极主动地理解业务、运营团队目标，通过应用分析方法和工具的灵活使用，高效实现相应业务的风险管理等分析需求，提供优化现有风险策略和流程的建议方案；6. 完成领导交办的其他相关数据分析工作。任职要求：1. 计算机、统计学、数学等相关专业本科以上学历，拥有较好数据功底理论，用户评分卡模型、反欺诈模型、机器学习等模型经验者优先；2. 三年及以上互联网、金融等行业的数据、风险等分析相关工作经验；3. 熟悉MySQL/Oracle等主流数据库，精通SQL；4. 具有丰富的数据分析、建模实践经验了解NOSQL数据库；5. 熟悉Python、R、EXCEL、SPSS等分析统计工具，熟悉数据挖掘、机器学习等常用算法更佳；6. 具有良好的逻辑分析能力、沟通能力和文字表达能力，良好的执行力；7. 乐于面对挑战，能够积极创新，优秀的团队合作精神；诚实，勤奋，严谨。福利：13薪+年终奖 五险一金一年至少一次涨薪机会饭贴车贴 25元/天加班可申请调休加班至9点饭贴另加20元/天加班至10点打车全额报销80元/人/月，团建基金入职健康体检每月集体生日会，生日的同学享有神秘个性化小礼物一份带薪年假 每月0.5天年假，一年6天,15k-25k,未融资
127,数据分析,边锋,500-999人,上海  ,本科,3-5年,游戏数据分析师,岗位职责：1、为游戏设计提供有价值的数据支持，并针对游戏玩家群分析并制定策略；2、深入了解棋牌游戏行业，建立游戏数据分析模型，获得用户行为动机、目的和原因；3、体验和研究游戏系统设定，从数据中提出更优的改进策略；4、日常游戏数据统计分析，并提供相关数据分析报告；任职要求：1、本科以上学历，统计学、数学、计算机相关专业；2、3年以上数据分析工作经验，有游戏数据分析经验优先；3、熟练运用各种数据分析软件，包括但不限于SQL，EXCEL等；4、对数据有高度的敏感度，能够洞察数据异常的原因，并提出有建设性的建议；5、良好的逻辑分析能力和表达能力，沟通能力强；6、热爱游戏者优先校或其他相关院校毕业，3年以上游戏相关工作经验。,15k-25k,不需要融资
128,数据分析,芝麻学社,100-499人,上海 浦东新区 花木,本科,1-3年,数据分析挖掘工程师,"岗位描述：1.主要负责业务部门和产品的数据报表和指标，搭建数据分析平台和框架，同时从数据中发现问题，并给到优化相关建议；2 负责用户画像用户行为的需求分析，把握用户画像的建设方向，设计和构建基于用户行为特征的平台化画像服务能力，提供至各类产品提升转化/用户体验；3、数据挖掘和机器学习方法建立数据模型解决实际问题，构建项目预期，并与业务部门沟通合作推动数据模型在实际业务中落地，对业务实际效果完成分析闭环，并输出建议；4、与业务部门密切联系，根据业务需求，对数据进行提取、整合、分析，通过数据为产品、业务优化提供效果评估，为产品调整提供数据决策支持；任职要求： 1、全日制统招本科及以上学历，数学、统计学、计量经济学、数据挖掘等相关专业，两年以上数据分析或挖掘经验；2、有互联网电商行业数据分析经验，参与过比较完整的数据采集、整理、大数据建模分析、落地工作；3、熟悉编程语言（Java、Python）；4、熟练掌握数据挖掘方面的常用方法及算法技巧，能驾驭一些常见的算法，比如：回归分析/SVM/贝叶斯/决策树/聚类算法/推荐算法等；5、熟悉mysql, mongodb, elasticsearch,redis；6、分布式计算框架者优先，如hadoop，spark等优先；7、一线互联网公司数据分析挖掘项目开发经验优先。",15k-20k,天使轮
129,数据分析,秒硕,20-99人,上海 普陀区 长寿路,大专,3-5年,数据分析师,岗位职责：1.为业务部门提供数据支持，提炼平时各业务部门需求，设计数据产品，协助建立和完善日常业务报告体系，报表体系，通过可视化BI工具进行业绩展现2.通过专项分析报告对公司发展情况进行汇报，为业务决策和产品方向提供数据支持3.根据业务场景，挖掘用户属性、购买行为、网站内容等数据，为优化运营，提供数据支持，例如客户留存，转化，商品评分推荐，客户标签，商品评论挖掘等4.根据客户需求制作相关数据分析报表并给到业务部门指导意见。职位要求：1.3年+数据分析专门岗位工作经验2.了解互联网、移动互联网、电商、营销等领域基本知识。3.对相关技术具有较强的学习能力；对于前端业务需求有较强的感知能力。4.掌握常用数据库工具以及数据分析工具，特别是阿里、京东体系内的数据和分析工具。能够根据客户需求制作相关数据分析报表并给到业务部门指导意见。5.有电商项目经验者优先。6.英文听说读写能力强者优先。,12k-15k,B轮
130,数据分析,鸿渡,100-499人,上海 黄浦区 南京东路,大专,1年以内,数据分析员,"岗位职责:1.新品开发定位分析与支持；2.产品定位模型制作支持；3.每日销售业绩统计与分析；4.销售业务数据统计与分析；5.采购部门数据统计与分析；6.其他部门报表制作；7.完成领导、公司交代的其他事项；任职要求：1、  有电商，淘系运营背景优先考虑；2、  1年及以上数据分析等相关工作经验；3、熟练掌握excel函数公式设置等数据分析技巧；4、了解Python, MYSQL, Navicat，Tableau其中一种工具的使用；5、较强的沟通协调能力，逻辑性强，条理清晰，对数据较为敏感；6、工作积极、努力；勤奋、上进，有韧性，能承受较大的工作压力； 7、大专以上学历，有过ERP软件开发或实施经验者，优先考虑。",7k-9k,未融资
131,数据分析,哲乘,20-99人,上海 徐汇区 漕河泾,本科,3-5年,数据分析师,1、熟悉互联网广告媒体；2、擅长数字营销数据分析；3、熟悉互联网数字传播技术和需求；4、对品牌传播和营销有深入了解；5、熟悉digital广告业务者优先；6、熟练掌握对比、分组、交叉、因素、矩阵关联、回归、聚类、因子、对应、时间列序等分析方法；7、熟练掌握数据分析相关的工具；8、熟悉算法模型搭建；9、能设计出各类图表表现出分析结果，让结果一目了然；10、本科以上学历；,8k-15k,未融资
132,数据分析,rupiahplus,100-499人,上海 徐汇区 淮海路,本科,3-5年,高级数据分析师,岗位职责：1、与产品，工程师，以及各运营团队合作，收集数据需求，解读业务数据，提供对数据的分析报告支持业务决策；2、参与数据产品的需求设计，数据模型设计，提供多维度智能化分析；3、参与日常数据监控以及数据预警，发现问题并参与提供解决方案。岗位要求：1、全日制本科及以上学历，计算机、金融或数据统计专业，有金融背景的技术控优先 ;2、3年以上数据分析相关经验；3、精通SQL，能使用SAS、SPSS、R等数据工具，有使用spark经验者优先，具备数据模型工作经验者优先；4、熟练使用EXCEL各类函数及图表，有Tableau使用经验者优先；5、具有严谨的逻辑思维能力，优秀的学习能力、良好的语言表达能力；6、了解统计学常识，可以利用统计学相关知识服务于工作；7、有ETL经验者优先 。,15k-30k,A轮
134,数据分析,英檬科技,20-99人,上海 长宁区 中山公园,本科,5-10年,数据分析师,岗位职责1)    在数据库中整理清洗数据和统计分析，计算和筛选变量，提取特征，刻画数据特征；2)    负责数据建模和日常报表的开发，并结合实际效果不断进行模型的训练和迭代，管理模型生命周期的全流程；3)    与业务团队配合针对数据分析结果形成业务策略，指导营销与CRM活动；4)    针对商业问题和实际业务，参与创新方法和应用的研发，充分挖掘数据的商业价值。5） 参与公司数据分析产品设计和开发。 职位要求：1)    大学本科及以上学历，数学、统计、计算机等专业毕业；2)    三年以上商业数据分析、数据管理经验，（在咨询公司从事过母婴奶粉、快消零售等行业数据分析、数据挖掘建模分析经验者优先）；3)    可熟练使用数据库，编写SQL存储过程，能独立完成简单的ETL任务；4)    掌握至少一种主流数据挖掘或数据分析工具，如Python、SAS、SPSS、R、VBA等，熟悉Power BI工具优先；5)    对大数据行业有热情，有数据好奇心，具备良好的学习能力、逻辑思维能力、沟通能力、团队协作能力和执行力。6） 具有一定的数据建模能力， 熟悉掌握回归、聚类分析、关联分析、决策树等算法。,12k-22k,A轮
135,数据分析,荷贝,100-499人,上海 徐汇区 斜土路,硕士,3-5年,BI数据分析师,岗位职责：1. 作为分析与产品，采购，销售，市场营销等多方部门的接口人，深入理解相关业务需求，就相关数据建立分析模型，形成对应的自动化分析报告，为各部门的决策工作提供数据支持，并做好相关报告的答疑解惑；2. 收集整理分析多方数据，交付业务部门可参考、可落地的数据报告并作清晰的演示；3. 从业务方角度出发，持续完善统计报表，支持新数据分析平台的开发，帮助业务部门更高效地完成业务目标；4. 通过使用公司内部数据库，结合SAP等库存管理软件以及其他云系统， 进行大数据分析，优化解决方案，精准定位用户；5. 支持开发搭建新的BI应用平台， 优化数据分析；6.  通过使用R/Python等数据分析工具，支持以优化价格及供应链为目标的其他新项目；7. 领导安排的其它事宜。任职要求：1. 研究生以上学历，计算机、统计、经济、数理、信息等相关专业，或至少一年以上相关从业经验，大中型互联网数据分析从业经验者优先2. 熟练掌握一种或多种主流BI工具如Qlikview/Tableau/PowerBI/SAP BO3. 熟练掌握至少一种数据分析软件如R/Python/Matlab者优先4. 有数据仓库（Data Warehouse）经验，掌握如SAP BW以及其他云服务等系统者优先5. 具有非常强的的逻辑思维能力，能够通过数据分析得到业务洞察并提供相应业务策略与建议6. 熟悉多种数据源深度诊断性组合分析、挖掘和建模、数理统计、数据分析、数据挖掘以及常用算法者优先7. 有较强的性能优化及问题排查、解决能力，对技术非常感兴趣并具有一定的快速学习以及研究能力8. 有强烈的责任心、良好的语言沟通与表达能力和自我驱动动力，能同时处理多方任务，承受工作压力。,10k-20k,不需要融资
137,数据分析,美至科技,20-99人,上海 闵行区 虹桥机场,本科,1年以内,数据分析师,美至的使命是：用数据驱动各行业的增长与变革。       现诚招一名优秀的助理数据科学家加入我们。您将有机会接触及分析来自美妆、电商和个护等各行各业的数据；您的工作成果将会对客户公司的运营（包括但不限于用户拉新和留存、企业战略量化分析、员工激励等）产生最直接最即时的影响；您将有机会与一群优秀的同事一起共事成长：我们的团队拥有连续创业者以及来自全球顶尖企业及院校（如阿里巴巴、SAP、奇虎360和沃顿商学院等）的同事。	【工作范畴】：一、以使用数据驱动客户企业业务增长为最终目的；二、基于不同客户企业的业务逻辑，独立规划数据项目，建立数据模型，制定关键增长指标； 三、设计各种增长方案、科学a/b测试并分析结果做出洞察；四、使用机器学习等方法预测用户留存和找出用户流失原因；五、参与网络数据爬取并针对用户评论等网络数据自然语言处理，分析客户企业产品优缺点；六、将结果用极强的逻辑和可视化效果表达展现出来。【技能和心态】：一、熟悉SQL（必要），了解R或Python或Tableau，有Kaggle经验（加分）；二、对您做的任何事情都有极高的标准和要求；三、能解决任何问题的态度。我们期待在面试中与您讨论以下的一本或几本书籍，它们也会让您在今后的生活中获益匪浅：《七个高效人士的习惯》——Stephen Covey《自控力》——Kelly McGonigal《助推》——Richard Thaler《影响力》——Robert Cialdini《原则》——Ray Dalio,10k-15k,A轮
139,数据分析,我图网,500-999人,上海 浦东新区 张江,本科,3-5年,商业数据分析,#负责行业动态追踪、收集并分析相关行业的趋势、创新竞品和业务模式，研究行业数据、分析行业发展，撰写行业报告；#在小组长的带领下，围绕新产品展开市场分析、用户需求研究、可行性研究等，挖掘业务问题和痛点，给出行动建议，推动业务成长，协助业务孵化；#针对平台课题，进行研究设计、调研执行、数据收集和整理、报告撰写等工作；#协助各个项目组进行用户研究、产品研究或课题研究，并输出具备可行性的方案或洞察；#对于行业竞品和相关研究领域进行长期跟踪，持续输出相关的研究结论及动向报告；岗位要求：#本科及以上学历，心理学、社会学、统计学、经济学、应用数学、互联网相关专业优先；#能独立进行开展研究分析工作，并通过整理形成可参考的报告，给出方案；#拥有市调或咨询公司、互联网商业分析或用研岗位，2-3年从业经验者优先；#具有一定的研究能力，优秀的专业素养及敬业精神；#有创新意识，能够提出改进性的产品创意和计划；#较强的数据分析能力，沟通能力，跨部门合作能力；#具备SPSS/R/SQL等软件实操能力者优先；#具有良好写作和表达能力，有较好英语阅读和书写水平的优先；,9k-18k,不需要融资
140,数据分析,七牛云,500-999人,上海 浦东新区 张江,本科,5-10年,业务数据分析师,职责描述：1. 负责公司销售部门的用户分析、流量分析等业务数据分析工作2. 以数据为驱动，挖掘和整合现有数据能力，形成指导平台产品和业务发展的分析洞见3. 能够对分析产出形成常规化的分析模型及数据产品方案，搭建分析体系任职要求：1. 具有良好的商业sense和数据驱动思考意识2. 良好的大局观，具备从平台角度对业务整体思考的能力3. 数量掌握Excel、SQL、BI软件、SPSS等统计分析工具；具有数据建模能力优先4. 有咨询行业经验，能够独立从数据分析形成数据分析报告5. 情商高、脑子快、向上沟通能力强，结果导向6. 5年及以上工作经验,10k-20k,D轮及以上
141,数据分析,中世通征信,100-499人,上海  ,大专,1-3年,资深数据分析师,"1、搭建公司各产品线自动化报表体系2、数据提炼、分析、归纳用户属性、行为等信息，完成分析结果；3、处理用户海量数据，挖掘用户行为特征，为产品、运营提供参考依据；4、针对具体业务问题，研究影响用户的潜在因素，进行数据分析验证并提出改善举措；5、参与各业务部门的重点项目，负责从数据的角度给出决策建议；5、将通过数据分析报表发现的问题，与商务、风控、产品、研发团队协同，搭建数据监控机制；6、有自主搭建数据仓库（中间层、宽表）经验者优先任职要求：1、本科及以上学历，数学、统计、计算机、金融等相关专业，有互联网或金融行业数据分析经验者优先；2、熟练掌握office、MYSQL、tableau等技能 ,会Python 、Hadoop、hive 、图数据库等加分；3、有1-3年数据分析，数据可视化经验，较强的数据敏感性；4、较强的逻辑思维，良好的数学、统计学功底，对于数据领域的需求，能够提供深入的解决方案；5、有高度的责任心，能较好的协调处理与外部以及公司其它部门之间的关系。6、 精通数理统计，掌握常用数据挖掘方法，例如：线性回归，逻辑回归，决策树分群，聚类、关联分析、SVM，贝叶斯等；7、 对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力，优秀的数据思维和强烈的数据决策意识，且思维缜密，做事认真严谨；8、 有较强的人际沟通、协调能力，具备与相关人员沟通数据需求的能力；",15k-25k,不需要融资
142,数据分析,卯聚,20-99人,上海 静安区 天目西路,本科,3-5年,数据分析师,岗位职责：1、整理与发掘有效数据集，选择与应用合适的统计方法与机器学习工具进行业务收益、风险分析2、基于数据分析形成价值观点，如产品优化、预测与推荐3、形成数据分析的可视化满足各干系人的需求4、与各部门协同，沉淀与优化分析方法，提高问题定位的精准度与解决方案的适应度          岗位要求：1、计算机、数学、金融工程或相关专业本科及以上学历 2、熟悉统计方法、机器学习算法，掌握 SAS/SPSS、R、Python及相关包如Pandas、Numpy、Scikit-learn等3、深刻理解企业数据仓库、数据集市及SQL、ETL工具，对具有供应链金融商业模式与商业分析经验优先4、具有良好的沟通能力、组织能力及团队协作精神，有较强的分析和解决问题的能力,15k-30k,不需要融资
143,数据分析,Gshopper,100-499人,上海 浦东新区 八佰伴,本科,1-3年,产品数据分析师,职位信息：1、基于业务数据，负责各类画像标签、数据源整合以及数据建模工作。2、结合公司业务发展，挖掘数据价值，提供有建设性意义的分析结果。3、能敏锐把握用户需求，提出产品设想和方案，形成原型图、撰写PRD文档。4、跟踪产品上线后的相关数据，根据数据不断优化改善产品业务或功能，提升用户体验。5、关注大数据/机器学习/人工智能应用相关方向的前沿研究，并将相关数据结合产品特点，设计数据个性化产品及可视化产品。任职条件： 1、本科以上学历，2年以上相关工作经历。2、具备较强的数据分析能力、逻辑思维能力、沟通能力，能够有效整合团队资源推动业务发展。 3、统计、数学、信息技术、心理学相关专业优先考虑；4、熟练使用Axure等产品原型设计工具，有完整数据产品成功交付案例优先；,8k-15k,C轮
144,数据分析,韦曝斯,20-99人,上海 长宁区 ,学历不限,1-3年,数据分析师,1.负责企业网站、微信公众号等多渠道的活动数据采集，撰写报告分析2.与技术团队合作，优化不同平台分析指标3.针对不同的分析主题，规范化、标准化数据分析过程，创建并完善数据分析模块4.针对不同客户SCRM用户画像，用户生命周期管理分析任职要求1.本科以上，统计学、数据学或计算机相关专业优先2.熟悉互联网监测、营销效果分析和数据分析的相关技术和工具3.具备逻辑思维能力、沟通能力和文字表达能力，精通EXCEL4.对互联网营销和社会化营销有一定的理解和经验5.有微信数据分析工作经历加分，有广告营销公司数据分析工作经历加分,5k-10k,不需要融资
145,数据分析,爱回收,1000-9999人,上海 杨浦区 江湾,本科,3-5年,平台运营数据分析师,一、工作职责1.针对业务项目，建立业务指标数据逻辑，定期分析项目进度，输出对应的业务需求分析文档；2.收集、归纳并总结需求，建立系统化的数据支持体系与数字监控体系，构建对应的数据产品，同时积极的进行迭代；3.负责在项目推进过程中的跨部门协调沟通工作，能够协调各资源以确保产品按时完成并高质量上线二、任职要求1.计算机相关、数学统计学、信息技术，社会科学等与数理统计、应用统计、计算编程相关的专业本科及以上学历，有互联网相关、咨询相关行业数据分析3年以上工作经历；2.掌握hive、SQL等相关数据提取工具，熟练操作excel、SAS/SPSS/Tableau、PPT等工具；3.良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；4.熟练独立编写商业数据分析报告，具备良好的商业敏感度和创新意识，快速识别商业问题和机会；5.具备良好的抗压能力、沟通能力和团队精神，有独立开展分析研究项目经验。6、有设计过数据分析、数据挖掘、数据可视化、在线数据相关产品经验优先,20k-30k,D轮及以上
146,数据分析,辰德网络科技,100-499人,上海  ,本科,1-3年,数据分析员,岗位职责：1、收集各项财务数据、业务数据，建立行业经营状况数据库；2、搜集、整理、分析行业各项信息与数据，建立相应明细报表及综合分析统计报表，据此提交行业研究、评估和预测；3、建立完善的商品数据库，为后期数据统计工作提供支持；4、每日、每周、每月提供销售与库存数据分析；5、其他上级临时交付的工作任务。任职资格：1. 本科以上学历，理工科专业；2. 两年以上电子商务运营或价格策略运营相关工作经验；3. 具有较好的数据分析能力，熟练运用数据库工具（MS SQL）；4. 具备强烈的责任心、主动性，具备优秀的执行力、沟通协调、分析理解、逻辑思维能力；5. 具备一定的领导力，能够组织、领导团队，目标导向，志在必胜。,6k-8k,未融资
