,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况
12,数据分析,北京星纪元科技有...,10000人以上,上海 浦东新区 塘桥,本科,3-5年,数据分析BI,岗位职责：1、对销售数据、市场数据，用户行为数据等进行搜集、分析和整理，撰写和汇总分析报告，为业务部门提供精准的数据支持与理论依据；2、负责业务报表的开发和维护，并能及时响应Ad-hoc的数据及分析需求；3、能根据业务特性协助在olap层搭建数据分析平台，提高数据性能及分析时效；岗位要求：1、2-3年互联网/金融行业/电子商务相关经验；2、3年以上数据处理、统计分析或市场调研等相关工作经验；3、精通Oracle/SQL，Hadoop Hive/impala，Python，R，Tableau等系列软件；4、优秀的数据思维和强烈的数据决策意识，良好的数据敏感度，能从海量数据提炼核心结果，善于用简单语言表述复杂结论；5、清晰、严谨的逻辑思维能力和分析能力，有敏锐的市场洞察力，良好的沟通和协调能力；6、思路严谨，具有良好的心理素质及能承受较大的心理压力，良好的团队协作能力。,11k-18k,不需要融资
13,数据分析,罗比,100-499人,上海 虹口区 七浦路,本科,1-3年,数据分析,2年以上2、做过数据可视化3、独立出具过分析报告4、做过数据集市5、有建模经验,10k-13k,100-499人
14,数据分析,上海创蓝文化传播,500-999人,上海 松江区 新桥,本科,1-3年,数据分析师,"数据分析岗位要求：1.统计学，经济，数学，计算机专业；2.热爱分析，有相关报表搭建制作以及数据建模方面的经验优先3.善于与公司部门人员沟通，收集各需求部门的数据需求，理解需求，撰写报表需求文档4.熟悉大数据导入导出,对数据处理有一定心得6.负责BI 报表的搭建，制作7.精通excel，ppt,Tableau可视化报表，会Python、r,等至少一门数据分析工具8.利用sql进行数据提取",10k-15k,A轮
15,数据分析,悠融资产,1000-9999人,上海 杨浦区 五角场,本科,1-3年,BI数据分析,岗位职责：1、快速并充分理解业务，并搭建有效自动化监控及可视化体系，用数据来体现业务工作的水平；2、数据体系和数据报表的维护和搭建，以及日常运营数据的监控和分析3、确保各指标、各数据的准确性及有效性，能及时定位并修复异常数据问题；4、以数据驱动业务，挖掘业务策略和流程的可优化点，提供有效的数据分析结果作为比对支持；5、与大数据、机器学习、产品运营等团队紧密合作，推进部门整体运营效率的提升；任职要求：1.本科及以上学历，计算机、统计学、数学相关专业，2年以上数据仓库、BI分析相关经验；互联网、金融、电商行业经验优先；2.熟悉行业主流BI/数据可视化工具，包括不限于 hive、sqlserver、tableau等常用软件，熟悉数仓结构体系；3.具备出色的数据分析能力、逻辑思维能力、沟通能力、快速学习能力，能深入；能够使用R、 Python、Spark、SAS、SPSS中的任意一种优先；,12k-24k,不需要融资
16,数据分析,奕尚网络,100-499人,上海 长宁区 北新泾,本科,1-3年,数据分析,岗位职责1、专注于服饰为主的行业研究，跟踪行业动态，为现有客户和新客户合作提供专业上的信息支持；2、参与公司内部运营分析，通过数据工具分析运营层面数据指标，为提升运营效率提供支持；包括营销分析、商品分析、用户分析等3、新零售研究，挖掘可能的机会点，提供新零售场景分析报告4、协助电商新渠道研究，提供渠道运作分析报告5、协助运营部门建立可视化数据分析平台6、电商竞争对手情报搜集和报告编辑7、分析项目生命全周期，洞察数据趋势，完成相关专题分析8、定期知识分享与培训任职要求1、大学本科及以上，理工科背景，数字敏感，数学逻辑强2、3年以上工作经验，商业敏感度高，以定量研究、数据分析、咨询公司（电商经验）背景为佳3、自我驱动力强、沟通协调强、学习能力强4、EXCEL和PPT功底好，略懂SQL更好5、团队精神，职业道德,7k-12k,不需要融资
17,数据分析,滴滴出行,10000人以上,上海 静安区 大宁路,本科,5-10年,数据分析专家,1、基于数据分析，辅助业务管理团队科学决策，协助团队商业目标的达成；2、构建业务分析体系，监控运行状况；针对重点问题深入分析，定位问题，提供解决问题的建议；3、对于具体的场景，运用数据分析，与大数据算法同学深度合作，解决业务的核心痛点和难点；4、沉淀分析思路与框架， 提炼数据产品需求，与相关团队协作并推动数据产品和决策系统的落地；,20k-40k,D轮及以上
18,数据分析,众安保险,1000-9999人,上海 黄浦区 外滩,本科,3-5年,数据分析师,"数据分析师岗位职责1、梳理业务部门的分析需求，规划报表需求，实现日常数据可视化；2、基于业务特征优化并完善业务指标体系,包括KPI指标体系、用户画像标签体系等；3、跨部门沟通，负责所需数据的提取、查询、分析等工作，以满足业务需求；4、深入理解产品和业务方向及策略，持续监控运营和产品改进效果，为业务部门提供业务优化建议；5、为业务决策提供数据解决方案，为团队分析能力的提高提供指导岗位要求 - 能独立编写数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的数据敏感度和逻辑分析能力； - 具有数据处理能力，熟悉使用sql，excel。会Python、r、sas、oracle、mysql优先； - 能快速理解定位业务痛点，提出综合性解决方案； - 有概率论，统计学，机器学习等数据分析方面知识的优先。 - 有保险公司经验者优先",15k-25k,已上市
19,数据分析,软通动力,10000人以上,上海 徐汇区 龙华,大专,1-3年,数据分析工程师,"工作职责:1、 根据项目的开发需求负责项目的数据分析及应用开发2、 参与各种项目开发环节，提供数据库应用解决方案3、 根据用户需求或产品功能进行模块细部设计与数据平台功能开发4、 对接各产品, 用户端系统, 或其它第三方平台，完成数据集成工作；任职资格:1、 本科及以上学历，3年以上数据挖掘开发经验2、 对数据处理、数据建模、数据分析有深刻认识和实战经验3、 熟悉Java,SQL，Python, Shell，MapReduce等编程4、 熟悉MangoDB, MySql等数据库应用5、 具备 Hadoop/HBase/Spark/Flink使用经验者优先6、 能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神",10k-15k,未融资
20,数据分析,树融科技,20-99人,上海 杨浦区 江湾,硕士,3-5年,高级数据分析师,"职位描述：1.城市及商业数据分析、模型建构、报告撰写；2.主要为城市数据（交通、规划、地理信息、人口等数据）分析，算法设计与开发；3.配合CTO对数据分析团队的管理；4.参与公司核心数据模型设计，应用模型搭建；5.总结新的模型方法，通过培训等方式普及和推广新模型在公司的使用。职位要求：1.对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强；2.熟练掌握 Python/R等语言；3.熟悉 MySQL、PostgreSQL 或 MongoDB 等数据库 ；4.具备GIS数据管理、分析、数据处理和转换能力。加分项：1.了解机器学习基本方法及主流机器学习框架；2.有统计模型经验, 有Javascript开发经验。",20k-40k,天使轮
21,数据分析,太平洋房屋,10000人以上,上海 徐汇区 枫林路,本科,1-3年,数据分析师,"岗位职责：1 配合公司项目要求，梳理业务流程，收集分析确认客户需求，搭建数据指标分析体系，制定数据统计规范，并实施落实；2 梳理数据流，进行数据清洗加载，根据需求协助搭建多维模型数据仓库； 3积极响应职能和业务部门的数据分析、BI报表和数据提取需求，保证准确性、全面性和时效性；4定期追踪业绩及其他关键业务指标情况，发现并指出数据异常情况，提出预警和建议，为公司领导及时决策提供保障和参考；5收集工作中的问题反馈和需求，提出优化和改善方案；6完成部门交办的其他工作事宜。岗位要求：1、本科及以上学历；数学、统计、计算机、经济学相关专业优先。2、2年或以上数据分析工作经验，有互联网/地产中介/电商/咨询公司工作经验者优先；3、优秀的逻辑思维能力，较强的表达沟通能力，良好的数据分析与建模能力、文字与报告撰写能力，自我学习能力、抗压能力强4、善于发现问题，积极主动提出问题和改进方案；细心，有耐心，责任心强；5、熟练使用SQL, FineReport, Tableau, Excel, R, Python等工具；6、熟悉数据挖掘理论与方法，如聚类分析，决策树，逻辑回归，关联规则等",8k-16k,已上市
